ID;Country;Earnings;Player Count
1.;China;$37,866,754.96;2058 Players
2.;United States;$29,100,215.25;3709 Players
3.;Russian Federation;$14,629,508.04;920 Players
4.;Korea, Republic of;$11,872,463.32;1144 Players
5.;Brazil;$10,860,785.73;1363 Players
6.;France;$7,145,915.74;1106 Players
7.;Thailand;$6,345,275.17;550 Players
8.;Denmark;$5,962,753.95;340 Players
9.;United Kingdom;$5,743,399.85;869 Players
10.;Japan;$5,305,091.00;946 Players
11.;Ukraine;$4,820,389.37;337 Players
12.;Sweden;$4,799,119.48;373 Players
13.;Germany;$4,793,683.36;989 Players
14.;Poland;$4,687,721.35;547 Players
15.;Canada;$4,302,287.49;546 Players
16.;Saudi Arabia;$3,940,762.34;385 Players
17.;Indonesia;$3,921,063.29;639 Players
18.;Australia;$3,717,608.10;950 Players
19.;Philippines;$3,488,951.70;550 Players
20.;Viet Nam;$3,135,630.25;668 Players
21.;Turkey;$2,699,148.99;518 Players
22.;Netherlands;$2,518,616.79;339 Players
23.;Malaysia;$2,398,662.32;358 Players
24.;India;$2,138,383.86;572 Players
25.;Peru;$1,889,298.63;227 Players
26.;Mongolia;$1,865,860.41;161 Players
27.;Taiwan, Republic of China;$1,616,968.45;358 Players
28.;Mexico;$1,563,159.71;457 Players
29.;Argentina;$1,491,383.17;475 Players
30.;Spain;$1,450,488.34;385 Players
31.;Israel;$1,399,746.94;55 Players
32.;Italy;$1,338,714.50;325 Players
33.;Norway;$1,281,995.37;188 Players
34.;Kazakhstan;$1,126,214.86;133 Players
35.;Finland;$1,110,532.58;259 Players
36.;Pakistan;$1,002,499.89;72 Players
37.;Portugal;$947,721.63;234 Players
38.;Nepal;$817,918.70;79 Players
39.;Serbia;$812,865.93;93 Players
40.;Latvia;$798,069.42;44 Players
41.;Czech Republic;$786,795.22;206 Players
42.;Estonia;$760,662.18;83 Players
43.;Bosnia and Herzegovina;$752,871.96;18 Players
44.;Singapore;$674,551.73;216 Players
45.;Egypt;$591,599.45;159 Players
