Order,Player ID,Player Name,Country,Total earnings(year),Total Earnings(game),Percentage of Game,Total(Overall),Percentage of Total
1.,MvM,"Wu, Hao",China,"$15,443.78","$281,827.98",5.48%,"$281,827.98",5.48%
2.,凌杀,"Huang, Junbin",China,"$15,443.78","$53,906.20",28.65%,"$53,906.20",28.65%
3.,阿福,"Liang, Jiafu",China,"$15,443.78","$53,906.20",28.65%,"$53,906.20",28.65%
4.,花傲天,"Hua, Chenyu",China,"$15,443.78","$49,977.49",30.90%,"$49,977.49",30.90%
5.,Tian,"Li, Haokui",China,"$15,443.78","$45,660.78",33.82%,"$45,660.78",33.82%
6.,GamlaBoy,Tushar Das,India,"$11,143.79","$41,795.92",26.66%,"$41,795.92",26.66%
7.,Pukar,Pukar Singla,India,"$9,642.41","$42,796.81",22.53%,"$42,796.81",22.53%
8.,Saumraj,Saumya Raj,India,"$9,642.41","$42,067.88",22.92%,"$42,067.88",22.92%
9.,Troye,Shiven Pawar,India,"$9,193.81","$16,748.25",54.89%,"$16,748.25",54.89%
10.,33z,"Lin, Zhichao",China,"$8,774.88","$438,805.49",2.00%,"$438,805.49",2.00%
11.,派大兴,"Han, Xing",China,"$8,774.88","$149,112.12",5.88%,"$149,112.12",5.88%
12.,杰,"Bin, Junhao",China,"$8,774.88","$89,251.13",9.83%,"$89,251.13",9.83%
13.,麋鹿,"-, -",China,"$8,774.88","$8,774.88",100.00%,"$8,774.88",100.00%
14.,RonaK,Harpreet Singh Janjuha,India,"$7,537.66","$50,564.12",14.91%,"$50,564.12",14.91%
15.,Spower,Rudra Banswani,India,"$6,834.09","$42,374.46",16.13%,"$42,374.46",16.13%
16.,Manya,Mohammad Raja,India,"$6,235.09","$56,548.51",11.03%,"$56,548.51",11.03%
17.,NakuL,Nakul Sharma,India,"$6,235.09","$53,915.55",11.56%,"$53,915.55",11.56%
18.,Jokerr,Khush Singh,India,"$6,235.09","$52,549.80",11.87%,"$52,549.80",11.87%
19.,Rony,Manpreet Singh,India,"$6,235.09","$52,474.80",11.88%,"$52,474.80",11.88%
20.,Hector,Sohail Shaikh,India,"$5,283.09","$52,262.86",10.11%,"$52,262.86",10.11%
21.,Z9,"Chen, Zixuan",China,"$5,264.93","$427,252.98",1.23%,"$427,252.98",1.23%
22.,神森森,"Wu, Changtao",China,"$5,264.93","$128,229.18",4.11%,"$128,229.18",4.11%
23.,ZXiaoWen,"Zhai, Xiaowen",China,"$5,264.93","$86,380.28",6.10%,"$86,380.28",6.10%
24.,Tian,"Huang, Yi",China,"$5,264.93","$19,127.05",27.53%,"$19,127.05",27.53%
25.,AkshaT,Akshat Goel,India,"$4,981.84","$53,639.88",9.29%,"$53,639.88",9.29%
26.,Omega,Sahil Jakhar,India,"$4,981.84","$50,253.50",9.91%,"$50,253.50",9.91%
27.,Neyo,Naman Adiani,India,"$4,981.84","$16,673.08",29.88%,"$16,673.08",29.88%
28.,WizzGOD,Faraz Khan,India,"$4,683.71","$19,919.95",23.51%,"$19,919.95",23.51%
29.,AK,Ankit Shukla,India,"$4,085.50","$21,692.61",18.83%,"$21,692.61",18.83%
