Order,Player ID,Player Name,Country,Total earnings(year),Total Earnings(game),Percentage of Game,Total(Overall),Percentage of Total
1.,HuaHai,"Luo, Siyuan",China,"$758,836.13","$1,653,762.36",45.89%,"$1,653,762.36",45.89%
2.,YiZ,"Liu, Tianhao",China,"$758,836.13","$1,285,374.50",59.04%,"$1,285,374.50",59.04%
3.,QingRong,"Huang, Yaoqin",China,"$758,836.13","$1,246,992.29",60.85%,"$1,246,992.29",60.85%
4.,ZiYang,"Xiang, Yang",China,"$758,836.13","$1,180,343.94",64.29%,"$1,180,343.94",64.29%
5.,TanRan,"Sun, Linwei",China,"$758,836.13","$952,637.35",79.66%,"$952,637.35",79.66%
6.,Alan,"Wang, Tianlong",China,"$734,741.85","$1,508,589.45",48.70%,"$1,508,589.45",48.70%
7.,FengJie,"Jiang, Longhui",China,"$557,549.29","$595,426.91",93.64%,"$595,426.91",93.64%
8.,Fly,"Peng, Yunfei",China,"$332,089.72","$1,513,017.64",21.95%,"$1,513,017.64",21.95%
9.,1dao,"Zhong, Letian",China,"$332,089.72","$1,395,173.96",23.80%,"$1,395,173.96",23.80%
10.,Yu,"Cai, Youqi",China,"$332,089.72","$1,361,835.26",24.39%,"$1,361,835.26",24.39%
11.,Fanfan,"Fan, Yang",China,"$332,089.72","$1,330,389.67",24.96%,"$1,330,389.67",24.96%
12.,Qfeng,"Du, Zhou",China,"$312,226.96","$721,279.66",43.29%,"$721,279.66",43.29%
13.,Peng,"Lu, Jiapeng",China,"$312,226.96","$681,785.68",45.80%,"$681,785.68",45.80%
14.,GAI,"Yang, Tingpu",China,"$312,226.96","$677,196.88",46.11%,"$677,196.88",46.11%
15.,Byshow,"Fang, Qingyou",China,"$312,226.96","$669,103.52",46.66%,"$669,103.52",46.66%
16.,Mlan,"Peng, Junlan",China,"$304,839.46","$647,995.03",47.04%,"$647,995.03",47.04%
17.,Pang,"Li, Daheng",China,"$272,176.00","$1,275,476.01",21.34%,"$1,275,476.01",21.34%
18.,NuanYang,"Lin, Heng",China,"$224,097.26","$1,132,152.11",19.79%,"$1,132,152.11",19.79%
19.,XingYu,"Li, Yuhao",China,"$224,097.26","$927,821.36",24.15%,"$927,821.36",24.15%
20.,ZiMo,"Wu, Zhejie",China,"$224,097.26","$744,447.90",30.10%,"$744,447.90",30.10%
21.,HuaJuan,"Wu, Yutao",China,"$224,097.26","$634,817.52",35.30%,"$634,817.52",35.30%
22.,NuoYan,"Guo, Guixin",China,"$195,243.35","$938,449.81",20.80%,"$938,449.81",20.80%
23.,Maris,"Nguyễn, Quốc Huy",Vietnam,"$180,582.52","$244,133.03",73.97%,"$244,133.03",73.97%
24.,MarkKy,Jessadaphan Siripattanaton,Thailand,"$176,626.92","$281,955.30",62.64%,"$281,955.30",62.64%
25.,JinYu,"Xu, Xiangyu",China,"$172,089.72","$529,234.25",32.52%,"$529,234.25",32.52%
26.,ZiJin,"Ren, Weifeng",China,"$171,568.96","$199,924.92",85.82%,"$199,924.92",85.82%
27.,QiaoXi,"Zeng, Qinglong",China,"$170,039.29","$525,805.58",32.34%,"$525,805.58",32.34%
28.,Hui,"Guo, Yanghui",China,"$169,077.93","$236,204.71",71.58%,"$236,204.71",71.58%
29.,Hurt,"Xia, Shengqqin",China,"$167,107.93","$581,507.86",28.74%,"$581,507.86",28.74%
30.,Chenyang,"Wang, Zhicheng",China,"$164,152.93","$245,151.61",66.96%,"$245,151.61",66.96%
31.,Moowan,Metasit Leelapipatkul,Thailand,"$161,494.17","$322,175.72",50.13%,"$322,175.72",50.13%
32.,TaoX,Vorasit Kanoktet,Thailand,"$160,875.95","$267,761.79",60.08%,"$267,761.79",60.08%
33.,Kimsensei,Sitchana Jaejan,Thailand,"$160,875.95","$264,118.57",60.91%,"$264,118.57",60.91%
34.,AlmondP,Phubase Kulpaktarapong,Thailand,"$160,425.37","$244,405.58",65.64%,"$244,405.58",65.64%
35.,QuangHai,"Nguyễn, Quang Hải",Vietnam,"$150,373.14","$225,229.47",66.76%,"$225,229.47",66.76%
36.,BirdLB,"Nguyễn, Văn Hiếu",Vietnam,"$149,116.86","$213,197.76",69.94%,"$213,197.76",69.94%
37.,HoàngTĐ,"Lâm, Văn Hoàng",Vietnam,"$135,488.72","$194,309.76",69.73%,"$194,309.76",69.73%
38.,Han,"Nguyễn, Quốc Hân",Vietnam,"$135,279.34","$206,981.03",65.36%,"$206,981.03",65.36%
39.,ĐHT,"Đặng, Huỳnh Trường",Vietnam,"$127,279.34","$170,430.82",74.68%,"$170,430.82",74.68%
40.,YanMeng,"Jing, Tong",China,"$116,437.44","$142,964.95",81.44%,"$142,964.95",81.44%
41.,Kuxie,"Wu, Zeng",China,"$114,495.96","$187,965.52",60.91%,"$187,965.52",60.91%
42.,LMeng,"Hu, Zhihang",China,"$114,495.96","$187,965.52",60.91%,"$187,965.52",60.91%
43.,Sep.,"Zhang, Yitian",China,"$114,495.96","$187,965.52",60.91%,"$187,965.52",60.91%
44.,XiHe,"Zhao, Menghao",China,"$114,495.96","$187,965.52",60.91%,"$187,965.52",60.91%
45.,XiuDouZ,"Pu, Yang",China,"$114,495.96","$187,965.52",60.91%,"$187,965.52",60.91%
46.,NingZhi,"Yuan, Jun",China,"$110,870.22","$467,163.63",23.73%,"$467,163.63",23.73%
47.,Ming,"Chi, Xiaoming",China,"$110,870.22","$184,776.22",60.00%,"$184,776.22",60.00%
48.,Roc,"Zhang, Peng",China,"$110,870.22","$184,776.22",60.00%,"$184,776.22",60.00%
49.,Yuan,"Jiang, Xiaolong",China,"$110,870.22","$122,012.46",90.87%,"$122,012.46",90.87%
50.,WeiYang,"Yin, Jiabao",China,"$104,481.83","$180,996.97",57.73%,"$180,996.97",57.73%
51.,Yinuo,"Xu, Bicheng",China,"$102,215.76","$1,095,693.69",9.33%,"$1,095,693.69",9.33%
52.,XiaoYing,"Tang, Jiajie",China,"$102,215.76","$552,857.45",18.49%,"$552,857.45",18.49%
53.,Ice,"Tang, Tian",China,"$102,215.76","$463,651.48",22.05%,"$463,651.48",22.05%
54.,YiAn,"Du, Guohao",China,"$102,215.76","$137,081.62",74.57%,"$137,081.62",74.57%
55.,T1,"Dai, Kai-Hsun",Taiwan,"$92,611.79","$137,361.81",67.42%,"$137,361.81",67.42%
56.,Kai,"Chen, Yi-Ning",Taiwan,"$87,318.71","$108,094.06",80.78%,"$108,094.06",80.78%
57.,NoFear,"Yang, Tao",China,"$84,386.29","$619,904.59",13.61%,"$619,904.59",13.61%
58.,JiuKu,"Wang, Tao",China,"$84,386.29","$619,243.61",13.63%,"$619,243.61",13.63%
59.,XingHen,"Wang, Keqin",China,"$84,386.29","$521,758.61",16.17%,"$521,758.61",16.17%
60.,HuiHui,"Jin, Minghui",China,"$80,862.43","$80,862.43",100.00%,"$80,862.43",100.00%
61.,Xin,"Chan, Cheng-Hsun",Taiwan,"$79,611.79","$126,115.02",63.13%,"$126,115.02",63.13%
62.,Pika,"Wu, Che-Hung",Taiwan,"$79,611.79","$125,245.33",63.56%,"$125,245.33",63.56%
63.,Zirui,"Huang, Tzu-Jui",Taiwan,"$79,611.79","$122,604.74",64.93%,"$122,604.74",64.93%
64.,TLin,"Yu, Yan-Lin",Taiwan,"$79,611.79","$116,739.83",68.20%,"$116,739.83",68.20%
65.,Nk,"Jiang, Youcheng",Taiwan,"$74,318.71","$103,155.61",72.05%,"$103,155.61",72.05%
66.,LunLun,"Xu, Ching-Lun",Taiwan,"$74,318.71","$100,094.06",74.25%,"$100,094.06",74.25%
67.,WaWa,"Lin, Han-Chi-Wa-Sih",Taiwan,"$74,318.71","$97,993.73",75.84%,"$97,993.73",75.84%
68.,Zhe,"Xu, Zhehe",Taiwan,"$74,318.71","$97,823.67",75.97%,"$97,823.67",75.97%
69.,Soar,"Cheng, Yu Hsiang",Taiwan,"$74,318.71","$97,314.50",76.37%,"$97,314.50",76.37%
70.,JieJie,"Yan, Jiejie",China,"$66,672.72","$92,094.25",72.40%,"$92,094.25",72.40%
71.,Bell,"Wang, Wenqiang",China,"$66,666.67","$327,946.19",20.33%,"$327,946.19",20.33%
72.,DongFang,"Zhang, Peng",China,"$66,666.67","$84,522.20",78.87%,"$84,522.20",78.87%
73.,Adou,"Jiang, Tao",China,"$64,097.26","$690,869.61",9.28%,"$690,869.61",9.28%
74.,QianShi,"Zhou, Kuan",China,"$63,873.67","$590,669.22",10.81%,"$590,669.22",10.81%
75.,Dani,Daniel Fernandes Gonçalves,Brazil,"$63,066.67","$113,924.16",55.36%,"$113,924.16",55.36%
76.,Yuese,"Liu, Tao",China,"$62,925.50","$398,850.12",15.78%,"$398,850.12",15.78%
77.,Red,"Phạm Vũ, Hoài Nam",Vietnam,"$60,050.25","$188,543.26",31.85%,"$188,543.26",31.85%
78.,Bângg,"Thóng, Lai Bâng",Vietnam,"$59,631.49","$220,605.73",27.03%,"$220,605.73",27.03%
79.,Niap,Felipe Vinicius de Sousa Fantinati,Brazil,"$59,466.67","$110,324.16",53.90%,"$110,324.16",53.90%
80.,Mist,Talles Alexandre Silva,Brazil,"$59,466.67","$62,133.34",95.71%,"$62,227.04",95.56%
81.,Fish,"Lương, Hoàng Phúc",Vietnam,"$58,375.21","$155,394.79",37.57%,"$155,394.79",37.57%
82.,Khoa,"Đinh, Tấn Khoa",Vietnam,"$58,375.21","$136,656.37",42.72%,"$136,656.37",42.72%
83.,Jiro,"Nguyễn, Quốc Hận",Vietnam,"$54,209.68","$130,860.13",41.43%,"$130,860.13",41.43%
84.,ShenRen,"Ma, Tengfei",China,"$54,057.97","$606,346.53",8.92%,"$606,346.53",8.92%
85.,Nuannan,"Li, Zexin",China,"$54,057.97","$54,822.97",98.60%,"$54,822.97",98.60%
86.,Fusion,Linniker Maciel,Brazil,"$52,800.00","$55,466.67",95.19%,"$60,679.24",87.01%
87.,Sa,Fabricio Sá Teles Cunha,Brazil,"$52,800.00","$52,800.00",100.00%,"$52,800.00",100.00%
88.,Summer,Vatcharanan Thaworn,Thailand,"$52,002.58","$183,379.83",28.36%,"$183,913.40",28.28%
89.,XHero,Tun Aung Kyaw,Myanmar,"$51,916.67","$96,550.31",53.77%,"$96,550.31",53.77%
90.,Ctboy,"Qi, Changpeng",China,"$51,688.00","$51,688.00",100.00%,"$51,688.00",100.00%
91.,HerMeS,Phatthanai Malasri,Thailand,"$50,858.25","$54,462.10",93.38%,"$54,462.10",93.38%
92.,Flower,"Li, Haoming",China,"$50,500.00","$71,980.80",70.16%,"$71,980.80",70.16%
93.,GGBOND,"Liu, Renhao",China,"$50,500.00","$56,781.20",88.94%,"$56,781.20",88.94%
94.,AhXing,Hein Htet Naing,Myanmar,"$50,250.00","$95,439.12",52.65%,"$95,439.12",52.65%
95.,Megumi,Kyaw Than Oo,Myanmar,"$50,250.00","$95,439.12",52.65%,"$95,439.12",52.65%
96.,007x,Chayut Suebka,Thailand,"$50,000.00","$162,690.73",30.73%,"$185,184.45",27.00%
97.,Moss,Sorawat Boonphrom,Thailand,"$50,000.00","$106,244.90",47.06%,"$121,300.95",41.22%
98.,MeMarkz,Kawee Wachiraphas,Thailand,"$50,000.00","$114,038.22",43.84%,"$116,273.19",43.00%
99.,Knight,Halil Berke Öztürk,Turkey,"$50,000.00","$57,142.86",87.50%,"$57,142.86",87.50%
100.,Feng,"Jin, Bingbing",China,"$50,000.00","$50,000.00",100.00%,"$50,000.00",100.00%
