Order,Player ID,Player Name,Country,Total earnings(year),Total Earnings(game),Percentage of Game,Total(Overall),Percentage of Total
1.,B1t,Valeriy Vakhovskiy,Ukraine,"$800,454.17","$1,050,707.70",76.18%,"$1,182,007.70",67.72%
2.,s1mple,Oleksandr Kostyljev,Ukraine,"$799,416.67","$1,718,355.32",46.52%,"$1,719,355.32",46.50%
3.,electroNic,Denis Sharipov,Russian Federation,"$798,766.67","$1,558,058.67",51.27%,"$1,597,258.67",50.01%
4.,Perfecto,Ilya Zalutskiy,Russian Federation,"$798,766.67","$1,155,970.78",69.10%,"$1,195,170.78",66.83%
5.,Boombl4,Kirill Sergeyevich Mikhailov,Russian Federation,"$798,766.67","$1,098,738.54",72.70%,"$1,141,538.54",69.97%
6.,Ax1Le,Sergey Rykhtorov,Russian Federation,"$338,257.08","$627,296.95",53.92%,"$666,496.95",50.75%
7.,HObbit,Abay Khasenov,Kazakhstan,"$336,897.08","$815,907.92",41.29%,"$855,147.92",39.40%
8.,sh1ro,Dmitry Sokolov,Russian Federation,"$336,897.08","$628,100.59",53.64%,"$723,100.59",46.59%
9.,nafany,Vladislav Gorshkov,Russian Federation,"$336,897.08","$608,833.92",55.33%,"$638,867.03",52.73%
10.,interz,Timofey Yakushin,Russian Federation,"$336,897.08","$542,076.34",62.15%,"$544,976.34",61.82%
11.,flamie,Egor Vasilyev,Russian Federation,"$285,766.67","$1,040,294.48",27.47%,"$1,041,031.90",27.45%
12.,NiKo,Nikola Kovač,Bosnia & Herzegovina,"$150,600.00","$1,300,569.23",11.58%,"$1,341,091.80",11.23%
13.,huNter,Nemanja Kovač,Bosnia & Herzegovina,"$149,600.00","$698,500.65",21.42%,"$739,000.65",20.24%
14.,Amanek,Francois Delaunay,France,"$149,600.00","$398,061.30",37.58%,"$408,311.30",36.64%
15.,nexa,Nemanja Isaković,Serbia,"$145,600.00","$411,954.70",35.34%,"$449,454.70",32.39%
16.,JaCkz,Audric Jug,France,"$140,100.00","$420,822.62",33.29%,"$424,155.23",33.03%
17.,shox,Richard Papillon,France,"$128,283.33","$829,499.83",15.47%,"$853,418.13",15.03%
18.,apEX,Dan Madesclaire,France,"$127,783.33","$1,298,119.05",9.84%,"$1,468,380.53",8.70%
19.,ZywOo,Mathieu Herbaut,France,"$127,783.33","$817,677.81",15.63%,"$980,977.81",13.03%
