Order,Player ID,Player Name,Country,Total earnings(year),Total Earnings(game),Percentage of Game,Total(Overall),Percentage of Total
1.,paraboy,"Zhu, Bocheng",China,"$477,186.19","$1,386,382.33",34.42%,"$1,386,382.33",34.42%
2.,Order,"Zeng, Zehai",China,"$449,656.19","$1,315,270.42",34.19%,"$1,315,270.42",34.19%
3.,Jimmy,"Xu, Yin-Jun",Taiwan,"$417,882.69","$1,245,858.98",33.54%,"$1,245,858.98",33.54%
4.,King,"Lin, Yien",Taiwan,"$301,921.68","$1,031,286.07",29.28%,"$1,031,286.07",29.28%
5.,Beizhai,"Run, Ma",China,"$286,697.50","$622,162.21",46.08%,"$622,162.21",46.08%
6.,Z9,"Chen, Zixuan",China,"$271,246.50","$427,252.98",63.49%,"$427,252.98",63.49%
7.,Broncho,"Zeng, Zhiwei",China,"$271,246.50","$308,136.08",88.03%,"$308,136.08",88.03%
8.,Mix6GG,"Wang, Biao",China,"$233,854.40","$350,465.89",66.73%,"$350,465.89",66.73%
9.,coolboy,"Zeng, Ronghua",China,"$213,007.09","$513,159.42",41.51%,"$513,159.42",41.51%
10.,qc,"Xu, Jiajun",China,"$202,308.11","$729,696.94",27.72%,"$729,696.94",27.72%
11.,33z,"Lin, Zhichao",China,"$199,287.26","$438,805.49",45.42%,"$438,805.49",45.42%
12.,Suk,"Feng, Shujie",China,"$189,472.88","$647,403.15",29.27%,"$647,403.15",29.27%
13.,Frozen,"Zhou, Yuchao",China,"$183,464.90","$329,593.53",55.66%,"$329,593.53",55.66%
14.,ChengC,"Mi, Jiacheng",China,"$174,614.41","$472,663.26",36.94%,"$472,663.26",36.94%
15.,General,"Shu, Zhiqi",China,"$171,809.94","$334,699.91",51.33%,"$334,699.91",51.33%
16.,Duelo,"Nishikawa, Yuya",Japan,"$163,094.01","$359,131.06",45.41%,"$359,131.06",45.41%
17.,SaRa,"Suzuki, Kento",Japan,"$163,094.01","$273,612.66",59.61%,"$273,612.66",59.61%
18.,Lapis,"Iguchi, Shota",Japan,"$163,094.01","$193,038.76",84.49%,"$193,038.76",84.49%
19.,Devine,"Sekigawa, Kouki",Japan,"$156,409.32","$288,257.17",54.26%,"$288,257.17",54.26%
20.,Matyo,"Masuda, Ryohei",Japan,"$154,729.01","$164,159.48",94.26%,"$164,159.48",94.26%
21.,CrazyGoRi,"Yanagizawa, Keiichi",Japan,"$154,729.01","$157,997.24",97.93%,"$157,997.24",97.93%
22.,YuYang,"Zhang, Yang",China,"$154,443.26","$366,938.86",42.09%,"$366,938.86",42.09%
23.,YMao,"Ma, Yuxin",China,"$151,717.35","$319,044.43",47.55%,"$319,044.43",47.55%
24.,Bamboo,"Luo, Tao",China,"$143,490.88","$355,529.24",40.36%,"$355,529.24",40.36%
25.,Lon9z,"Xiao, Haitao",China,"$143,490.88","$233,869.87",61.36%,"$233,869.87",61.36%
26.,ManHAN,"Liu, Han",China,"$143,490.88","$171,691.50",83.57%,"$171,691.50",83.57%
27.,Reiji,"Maeda, Reiji",Japan,"$139,563.26","$331,359.96",42.12%,"$331,359.96",42.12%
28.,OnlyS,"Liu, Yang",China,"$136,332.40","$231,396.56",58.92%,"$231,396.56",58.92%
29.,FlowerC,"You, Guochuan",China,"$128,884.61","$422,328.22",30.52%,"$422,328.22",30.52%
30.,wyy,"Chen, Qi",China,"$123,993.94","$224,689.73",55.18%,"$224,689.73",55.18%
