Order,Player ID,Player Name,Country,Total earnings(year),Total Earnings(game),Percentage of Game,Total(Overall),Percentage of Total
1.,NuanYang,"Lin, Heng",China,"$491,368.89","$1,132,152.11",43.40%,"$1,132,152.11",43.40%
2.,Adou,"Jiang, Tao",China,"$491,368.89","$690,869.61",71.12%,"$690,869.61",71.12%
3.,ShenRen,"Ma, Tengfei",China,"$491,368.89","$606,346.53",81.04%,"$606,346.53",81.04%
4.,QianShi,"Zhou, Kuan",China,"$491,368.89","$590,669.22",83.19%,"$590,669.22",83.19%
5.,ShiJiu,"Chen, Runzhi",China,"$478,918.65","$515,841.57",92.84%,"$515,841.57",92.84%
6.,YiZ,"Liu, Tianhao",China,"$266,949.73","$1,285,374.50",20.77%,"$1,285,374.50",20.77%
7.,XingYu,"Li, Yuhao",China,"$266,949.73","$927,821.36",28.77%,"$927,821.36",28.77%
8.,QingQing,"Wu, Jinxiang",China,"$244,368.40","$829,438.75",29.46%,"$829,438.75",29.46%
9.,JiuCheng,"Cao, Zhishun",China,"$169,986.13","$524,628.69",32.40%,"$524,628.69",32.40%
10.,XiangJun,"Ceng, Xiangjun",China,"$169,986.13","$257,132.86",66.11%,"$257,132.86",66.11%
11.,Yinuo,"Xu, Bicheng",China,"$164,345.86","$1,095,693.69",15.00%,"$1,095,693.69",15.00%
12.,Ice,"Tang, Tian",China,"$164,345.86","$463,651.48",35.45%,"$463,651.48",35.45%
13.,Six,"Xu, Yiran",China,"$164,345.86","$282,819.66",58.11%,"$326,950.96",50.27%
14.,XiaoYing,"Tang, Jiajie",China,"$153,970.66","$552,857.45",27.85%,"$552,857.45",27.85%
15.,Qinian,"Wen, Zheng",China,"$153,970.66","$184,359.44",83.52%,"$184,359.44",83.52%
16.,JiuLong,"Kang, Junlong",China,"$124,212.74","$442,411.10",28.08%,"$442,411.10",28.08%
17.,Evil,"Wang, Dong",China,"$120,465.44","$153,670.32",78.39%,"$153,670.32",78.39%
18.,Msir,"Jiang, Boyuan",China,"$117,357.90","$322,274.34",36.42%,"$322,274.34",36.42%
19.,Mf,"Li, Jiahao",China,"$113,467.20","$223,369.64",50.80%,"$223,369.64",50.80%
20.,XiaoYi,"Wang, Qijun",China,"$94,883.54","$202,635.88",46.82%,"$202,635.88",46.82%
21.,Hurt,"Xia, Shengqqin",China,"$92,347.98","$581,507.86",15.88%,"$581,507.86",15.88%
22.,JueKing,"Zhou, Wenxie",China,"$91,776.00","$175,145.80",52.40%,"$175,145.80",52.40%
23.,Fly,"Peng, Yunfei",China,"$90,822.98","$1,513,017.64",6.00%,"$1,513,017.64",6.00%
24.,Mojo,"Hu, Linye",China,"$90,822.98","$152,295.04",59.64%,"$152,295.04",59.64%
25.,Song,"Tang, Junwei",China,"$89,913.44","$274,006.13",32.81%,"$274,006.13",32.81%
26.,Giao,"Sun, Maorong",China,"$80,115.78","$197,118.89",40.64%,"$197,118.89",40.64%
27.,770,"Liu, Xuexiang",China,"$80,115.78","$192,479.16",41.62%,"$192,479.16",41.62%
28.,03.22,"Guo, Guan Wei",Taiwan,"$73,538.08","$95,136.33",77.30%,"$95,136.33",77.30%
29.,ShanGuang,"Wang, Mengxuan",China,"$70,566.65","$75,992.83",92.86%,"$75,992.83",92.86%
30.,JiuWei,"Xu, Xinzhen",China,"$63,556.13","$535,310.92",11.87%,"$535,310.92",11.87%
31.,BingC,"Li, Xiaolong",China,"$63,556.13","$427,548.23",14.87%,"$427,548.23",14.87%
32.,QC,"Zhou, Yitao",China,"$63,556.13","$407,763.50",15.59%,"$407,763.50",15.59%
33.,Rabbit,"Liu, Bin",China,"$63,556.13","$143,089.71",44.42%,"$143,089.71",44.42%
34.,ChenYu,"Gao, Xingyu",China,"$63,556.13","$131,563.85",48.31%,"$131,563.85",48.31%
35.,KuKu,"Lam, Ka Fu",Macao,"$62,538.08","$103,440.72",60.46%,"$107,543.62",58.15%
36.,FirstOne,Sanpett Marat,Thailand,"$61,753.05","$225,602.68",27.37%,"$240,146.87",25.71%
37.,Isilindilz,Sorawichaya Mahavanakul,Thailand,"$61,753.05","$172,035.89",35.90%,"$172,375.44",35.82%
38.,Neil,"Chang, Chun-Sheng",Taiwan,"$60,938.08","$199,552.39",30.54%,"$199,552.39",30.54%
39.,Yuzon,"Chung, Chou",Taiwan,"$60,938.08","$182,534.44",33.38%,"$182,534.44",33.38%
40.,Fanta,"Yen, Hao-Che",Taiwan,"$60,938.08","$79,780.15",76.38%,"$79,780.15",76.38%
41.,Summer,Vatcharanan Thaworn,Thailand,"$60,806.74","$183,379.83",33.16%,"$183,913.40",33.06%
42.,Nutalomlok,Anurak Saengjan,Thailand,"$60,269.13","$262,530.75",22.96%,"$267,574.62",22.52%
43.,007x,Chayut Suebka,Thailand,"$59,806.74","$162,690.73",36.76%,"$185,184.45",32.30%
44.,HuaHai,"Luo, Siyuan",China,"$59,648.48","$1,653,762.36",3.61%,"$1,653,762.36",3.61%
45.,Alan,"Wang, Tianlong",China,"$59,648.48","$1,508,589.45",3.95%,"$1,508,589.45",3.95%
46.,Cat,"Chen, Zhengzheng",China,"$59,648.48","$1,336,719.65",4.46%,"$1,336,719.65",4.46%
47.,NuoYan,"Guo, Guixin",China,"$59,648.48","$938,449.81",6.36%,"$938,449.81",6.36%
48.,WuMing,"Zhang, Cong",China,"$59,648.48","$748,209.82",7.97%,"$748,209.82",7.97%
49.,ShiSan,"Wang, Zhi",China,"$56,358.11","$126,314.79",44.62%,"$126,314.79",44.62%
50.,Erez,Pasu Yensabai,Thailand,"$52,458.63","$246,575.13",21.27%,"$246,575.13",21.27%
51.,IpodPro,Pakkapon Saethong,Thailand,"$47,791.96","$222,125.78",21.52%,"$222,125.78",21.52%
52.,Tony,Eikapong Korhonen,Thailand,"$47,791.96","$193,607.42",24.68%,"$193,607.42",24.68%
53.,YiTong,"Liu, Xiang",China,"$43,907.87","$118,299.96",37.12%,"$118,299.96",37.12%
54.,MengShen,"Li, Yao",China,"$43,907.87","$64,092.90",68.51%,"$64,092.90",68.51%
55.,Smile,"-, -",China,"$43,907.87","$64,092.90",68.51%,"$64,092.90",68.51%
56.,Overfly,Satittirat Chetnarong,Thailand,"$43,067.62","$176,325.88",24.43%,"$176,325.88",24.43%
57.,Kenshin,"Wu, Xian",China,"$42,899.20","$96,322.43",44.54%,"$96,322.43",44.54%
58.,Bângg,"Thóng, Lai Bâng",Vietnam,"$42,388.06","$220,605.73",19.21%,"$220,605.73",19.21%
59.,Happy,Chatchanapong Pijitwarakarn,Thailand,"$41,777.16","$147,321.35",28.36%,"$147,321.35",28.36%
60.,Chenyang,"Wang, Zhicheng",China,"$39,998.26","$245,151.61",16.32%,"$245,151.61",16.32%
61.,JunZhao,"Lou, Yuxuan",China,"$39,998.26","$97,170.63",41.16%,"$97,170.63",41.16%
62.,QingFan,"Liu, Huan",China,"$39,998.26","$72,355.19",55.28%,"$72,355.19",55.28%
63.,Heroes,"Lu, Hsing-Cheng",Taiwan,"$38,516.91","$45,307.18",85.01%,"$45,307.18",85.01%
64.,Qy,"Yu, Kun",China,"$36,851.20","$74,464.59",49.49%,"$74,464.59",49.49%
65.,LạcLạc,"Nguyễn, Công Vinh",Vietnam,"$36,544.98","$96,025.37",38.06%,"$96,025.37",38.06%
66.,BronzeV,"Trịnh, Đào Tiến",Vietnam,"$36,113.02","$75,163.11",48.05%,"$75,163.11",48.05%
67.,Zeref,"Nguyễn, Thanh Lâm",Vietnam,"$35,255.21","$95,413.52",36.95%,"$95,413.52",36.95%
68.,NoFear,"Yang, Tao",China,"$35,251.20","$619,904.59",5.69%,"$619,904.59",5.69%
69.,QF,"Xia, Jinfei",China,"$33,659.54","$169,347.28",19.88%,"$169,347.28",19.88%
70.,Gaduo,"Su, Yu-Yen",Taiwan,"$33,516.91","$38,594.99",86.84%,"$104,751.68",32.00%
71.,XiXi,"Chuang, Chi-Kang",Taiwan,"$33,516.91","$91,649.11",36.57%,"$91,649.11",36.57%
72.,Gua,"Chen, En-Hao",Taiwan,"$33,516.91","$42,877.60",78.17%,"$42,877.60",78.17%
73.,Red,"Phạm Vũ, Hoài Nam",Vietnam,"$32,930.98","$188,543.26",17.47%,"$188,543.26",17.47%
74.,Munez,Suriya Prataphan,Thailand,"$32,261.50","$48,631.23",66.34%,"$48,631.23",66.34%
75.,Difoxn,Parit Pornrattanapitak,Thailand,"$30,378.88","$277,722.99",10.94%,"$277,722.99",10.94%
76.,Wuhen,"Zhu, Haoyun",China,"$29,780.43","$175,413.76",16.98%,"$175,413.76",16.98%
77.,Kato,"Chun, Tseng-Yung",Taiwan,"$29,336.11","$32,850.34",89.30%,"$32,850.34",89.30%
78.,Best,"Zheng, GuoHao",China,"$29,175.18","$90,410.72",32.27%,"$90,410.72",32.27%
79.,556,"Wang, Peidian",China,"$29,175.18","$78,641.99",37.10%,"$78,641.99",37.10%
80.,ChuXin,"Zhang, JiaCheng",China,"$29,175.18","$72,368.76",40.31%,"$72,368.76",40.31%
81.,XiaoXin,"Chen, Chuang-Xin",China,"$29,175.18","$57,194.76",51.01%,"$57,194.76",51.01%
82.,JOMWick,Siwa Noomai,Thailand,"$29,145.83","$78,489.71",37.13%,"$78,489.71",37.13%
83.,DAT,"Ka, Tung Lau",Hong Kong,"$28,501.52","$134,049.75",21.26%,"$134,049.75",21.26%
84.,MengLei,"Xiao, Minhui",China,"$28,226.66","$106,915.20",26.40%,"$106,915.20",26.40%
85.,XB,"Trần, Xuân Bách",Vietnam,"$27,663.45","$212,467.31",13.02%,"$212,467.31",13.02%
86.,Gau,"Phạm, Hồng Quân",Vietnam,"$26,804.63","$173,059.25",15.49%,"$173,059.25",15.49%
87.,Wayn,"Hsieh, Sung Lin",Taiwan,"$26,666.67","$39,119.30",68.17%,"$39,119.30",68.17%
88.,ADC,"Trần, Đức Chiến",Vietnam,"$25,547.75","$193,929.17",13.17%,"$193,929.17",13.17%
89.,ProE,"Trần, Quang Hiệp",Vietnam,"$25,419.08","$189,383.14",13.42%,"$189,383.14",13.42%
90.,NuanHai,"Guo, Ze-en",China,"$24,473.60","$238,796.33",10.25%,"$238,796.33",10.25%
91.,Yilian,"Wang, Jiahao",China,"$23,613.20","$91,255.90",25.88%,"$91,255.90",25.88%
92.,XiaoA,"Yang, Rongxin",China,"$23,000.60","$228,517.05",10.07%,"$228,517.05",10.07%
93.,762,"Li, Jiale",China,"$22,581.33","$48,570.14",46.49%,"$48,570.14",46.49%
94.,Elly,"Đỗ, Thành Đạt",Vietnam,"$22,545.43","$35,948.67",62.72%,"$77,563.57",29.07%
95.,Flower,"Li, Haoming",China,"$21,480.80","$71,980.80",29.84%,"$71,980.80",29.84%
96.,COLA,"Li, Yongzhao",China,"$21,480.80","$49,193.89",43.67%,"$49,193.89",43.67%
97.,RanRan,"Wang, Hong",China,"$21,475.60","$61,480.20",34.93%,"$61,480.20",34.93%
98.,Storm,"Liu, Weijie",China,"$19,332.01","$222,120.32",8.70%,"$222,120.32",8.70%
99.,QianC,"Liu, Xuehuang",China,"$19,332.01","$201,990.22",9.57%,"$201,990.22",9.57%
100.,LianGC,"Zhang, Qi",China,"$19,332.01","$178,531.10",10.83%,"$178,531.10",10.83%
