Order,Player ID,Player Name,Country,Total earnings(year),Total Earnings(game),Percentage of Game,Total(Overall),Percentage of Total
55.,MaSa,Maru Kim,Canada,"$3,200.00","$142,784.44",2.24%,"$142,784.44",2.24%
56.,XY,"Xiang, Yao",China,"$3,164.67","$93,034.28",3.40%,"$93,034.28",3.40%
57.,MilkiCow,Ilya Potapov,Russian Federation,"$3,105.00","$15,078.23",20.59%,"$15,110.61",20.55%
58.,Rex,"Lei, Hao Cheng",Taiwan,"$2,992.63","$39,102.43",7.65%,"$39,102.43",7.65%
59.,Bly,Aleksandr Svusuyk,Ukraine,"$2,975.00","$140,202.86",2.12%,"$140,443.70",2.12%
60.,eGGz,Sebastian Latorre,Colombia,"$2,950.00","$15,093.50",19.54%,"$15,093.50",19.54%
61.,MeomaikA,"Tran, Hong Phuc",Vietnam,"$2,930.00","$35,913.21",8.16%,"$36,088.21",8.12%
62.,DisK,Alexandre Corriveau,Canada,"$2,900.00","$21,005.00",13.81%,"$21,005.00",13.81%
63.,GunGFuBanDa,Fabian Mayer,Germany,"$2,850.00","$53,101.94",5.37%,"$53,101.94",5.37%
64.,goblin,Leon Vrhovec,Croatia,"$2,811.94","$24,315.39",11.56%,"$24,315.39",11.56%
65.,Vindicta,Miguel Marmolejo,United States of America,"$2,560.72","$25,148.49",10.18%,"$25,148.49",10.18%
66.,MacSed,"Hu, Xiang",China,"$2,498.70","$123,759.35",2.02%,"$124,855.81",2.00%
67.,Nanami,"Wang, Le",China,"$2,413.05","$3,933.95",61.34%,"$3,933.95",61.34%
68.,Spatz,Marvin Tiele,Germany,"$2,405.45","$4,520.21",53.22%,"$4,520.21",53.22%
69.,Nina,Nina Qual,United States of America,"$2,221.40","$92,973.33",2.39%,"$92,973.33",2.39%
70.,Dolan,Paul Dolan,United States of America,"$2,212.16","$6,481.81",34.13%,"$6,481.81",34.13%
71.,soO,"Eu, Yoon Su",Republic of Korea,"$2,204.18","$634,083.02",0.35%,"$643,025.52",0.34%
72.,ForJumy,Julian Milz,Germany,"$2,167.30","$6,331.92",34.23%,"$6,331.92",34.23%
73.,Mondo,"Song, Kyung-jun",Republic of Korea,"$2,139.72","$2,139.72",100.00%,"$2,139.72",100.00%
74.,Silky,"Yin, Yongxin",China,"$2,051.57","$12,966.26",15.82%,"$12,966.26",15.82%
75.,Stats,"Kim, Dae Yeob",Republic of Korea,"$2,013.18","$628,876.30",0.32%,"$634,195.19",0.32%
76.,Erik,Erik Bermelho,Brazil,"$1,973.16","$22,506.91",8.77%,"$25,417.74",7.76%
77.,PtitDrogo,Théo Freydière,France,"$1,909.12","$145,926.07",1.31%,"$148,426.07",1.29%
78.,SCV,"Jiaqi, Luan",China,"$1,900.00","$1,900.00",100.00%,"$1,900.00",100.00%
79.,AqueroN,Rubén Villanueva,Spain,"$1,833.07","$8,973.01",20.43%,"$8,973.01",20.43%
80.,PattyMac,Patrick MacIlwaine,United States of America,"$1,691.77","$8,090.17",20.91%,"$8,090.17",20.91%
81.,TooDming,"Huang, Hui Ming",China,"$1,661.57","$144,725.05",1.15%,"$146,947.29",1.13%
82.,NightPhoenix,Oleksiy Zakharchuk,Ukraine,"$1,625.00","$3,398.60",47.81%,"$3,905.99",41.60%
83.,GogojOey,"Kwok, Chun Yin",Hong Kong,"$1,500.00","$19,232.12",7.80%,"$19,232.12",7.80%
84.,Ukko,Corey Merritt,United States of America,"$1,450.00","$4,402.50",32.94%,"$4,402.50",32.94%
85.,TeebuL,Haseeb Ishaq,U.K. of Great Britain and Northern Ireland,"$1,445.25","$17,476.59",8.27%,"$17,476.59",8.27%
86.,BattleB,Sven Kroth,Germany,"$1,386.10","$5,968.17",23.22%,"$5,968.17",23.22%
