Order,Player ID,Player Name,Country,Total earnings(year),Total Earnings(game),Percentage of Game,Total(Overall),Percentage of Total
1.,天宇,"Zhang, Tianyu",China,"$232,960.19","$298,975.13",77.92%,"$298,975.13",77.92%
2.,海,"Yan, Haiyang",China,"$167,861.69","$167,861.70",100.00%,"$167,861.70",100.00%
3.,Calse,Taha Unlu,Turkey,"$167,650.00","$260,660.00",64.32%,"$260,660.00",64.32%
4.,SylaS,Berkin Çetin,Turkey,"$166,150.00","$272,685.00",60.93%,"$272,685.00",60.93%
5.,RayZ,Mehmet Akif Kastal,Turkey,"$166,150.00","$225,042.50",73.83%,"$225,042.50",73.83%
6.,HamsiG,Faruk Hamsici,Turkey,"$166,150.00","$205,300.00",80.93%,"$205,300.00",80.93%
7.,Bamboo,"Luo, Tao",China,"$164,735.52","$355,529.24",46.34%,"$355,529.24",46.34%
8.,Ydd,"Liu, Bo",China,"$160,589.19","$263,870.81",60.86%,"$263,870.81",60.86%
9.,SchwepXz,Supachai Singkaew,Thailand,"$157,658.33","$322,277.98",48.92%,"$322,277.98",48.92%
10.,领域,"Liu, Jinshan",China,"$155,089.19","$247,552.70",62.65%,"$247,552.70",62.65%
11.,Stoned,Purin Rongkhankaew,Thailand,"$146,908.33","$332,245.64",44.22%,"$332,245.64",44.22%
12.,Rvenclaw,Thanarat Makhotsa,Thailand,"$146,908.33","$306,345.79",47.96%,"$306,345.79",47.96%
13.,Fluketh,Natchaphon Somtus,Thailand,"$146,908.33","$305,166.18",48.14%,"$305,166.18",48.14%
14.,SuKi,"Wan, Quanjun",China,"$145,520.79","$358,820.23",40.56%,"$358,820.23",40.56%
15.,Godless,Bilguun Baatarkhuu,Mongolia,"$144,354.17","$189,978.21",75.98%,"$189,978.21",75.98%
16.,Zyol,Zolboot Bayartsengel,Mongolia,"$144,354.17","$189,778.21",76.06%,"$189,778.21",76.06%
17.,DEMO,Batbagana Batkhuyag,Mongolia,"$144,354.17","$150,320.84",96.03%,"$150,320.84",96.03%
18.,Alex,Khuselbaatar Khatanbaatar,Mongolia,"$144,354.17","$150,170.84",96.13%,"$150,170.84",96.13%
19.,TonyK,Nattawut Muensa,Thailand,"$141,358.33","$173,190.82",81.62%,"$173,224.30",81.60%
20.,Suk,"Feng, Shujie",China,"$140,471.53","$647,403.15",21.70%,"$647,403.15",21.70%
21.,Ming,"Chen, Haoming",China,"$140,471.53","$583,027.44",24.09%,"$583,027.44",24.09%
22.,DaoShi,"Song, Jiantao",China,"$140,471.53","$349,195.59",40.23%,"$349,195.59",40.23%
23.,YMao,"Ma, Yuxin",China,"$140,471.53","$319,044.43",44.03%,"$319,044.43",44.03%
24.,环,"Li, Yachen",China,"$140,471.53","$140,471.53",100.00%,"$140,471.53",100.00%
25.,TOP,Burenbayar Altangerel,Mongolia,"$134,773.81","$290,423.80",46.41%,"$290,423.80",46.41%
26.,Action,Suhbat Galtsalam,Mongolia,"$131,773.81","$294,423.80",44.76%,"$294,423.80",44.76%
27.,Revo,Roan Aléssio,Brazil,"$131,300.00","$223,525.00",58.74%,"$223,525.00",58.74%
28.,carrilho,Lucas Miguel,Brazil,"$130,300.00","$267,965.00",48.63%,"$267,965.00",48.63%
29.,Mafioso,Daniel Henrique vaz,Brazil,"$130,300.00","$216,095.00",60.30%,"$216,095.00",60.30%
30.,阿魇,"Chen, Yingjie",China,"$128,242.47","$128,242.47",100.00%,"$128,242.47",100.00%
31.,Justin,"Luo, Xiongjie",China,"$128,115.79","$166,259.55",77.06%,"$166,259.55",77.06%
32.,狼影,"Zhang, Xin",China,"$128,115.79","$155,286.36",82.50%,"$155,286.36",82.50%
33.,97,"Xu, Huayang",China,"$128,115.79","$135,042.83",94.87%,"$135,042.83",94.87%
34.,KillerYT,Shahas Bhandari,Nepal,"$125,687.50","$140,637.50",89.37%,"$140,637.50",89.37%
35.,DeltaX,Deepesh Gurung,Nepal,"$125,687.50","$139,279.17",90.24%,"$139,279.17",90.24%
36.,RuLzSR,Subin Kumar Prajapati,Nepal,"$125,687.50","$139,279.17",90.24%,"$139,279.17",90.24%
37.,Gyantey,Sameer Gurung,Nepal,"$125,687.50","$131,687.50",95.44%,"$131,687.50",95.44%
