Order,Player ID,Player Name,Country,Total earnings(year),Total Earnings(game),Percentage of Game,Total(Overall),Percentage of Total
1.,Heaven,"Kim, Tae Sung",Republic of Korea,"$9,416.18","$112,627.79",8.36%,"$112,627.79",8.36%
2.,Salute,"Woo, Je hyeon",Republic of Korea,"$5,794.57","$351,443.80",1.65%,"$351,443.80",1.65%
3.,Gyumin,"Sim, Gyu Min",Republic of Korea,"$5,794.57","$37,288.60",15.54%,"$37,288.60",15.54%
4.,Bean,"Oh, Won Bin",Republic of Korea,"$5,794.57","$10,586.72",54.73%,"$10,586.72",54.73%
5.,Heather,"Cha, Ji hun",Republic of Korea,"$5,794.57","$9,209.34",62.92%,"$9,209.34",62.92%
6.,DimasTy,Setthawut Phula,Thailand,"$5,000.00","$5,000.00",100.00%,"$5,000.00",100.00%
7.,J4ME,Jakkrawut Daungsri,Thailand,"$5,000.00","$5,000.00",100.00%,"$5,000.00",100.00%
8.,RiwZ,Phongsathon Khrueakiratitham,Thailand,"$5,000.00","$5,000.00",100.00%,"$5,000.00",100.00%
9.,ShanKs,Dontakon Lamool,Thailand,"$5,000.00","$5,000.00",100.00%,"$5,000.00",100.00%
10.,ThanawatTH,Thanawat Jantem,Thailand,"$3,750.00","$59,343.11",6.32%,"$59,343.11",6.32%
11.,Ezqelusia,Wasu Surapakornniti,Thailand,"$3,750.00","$35,638.93",10.52%,"$36,054.99",10.40%
12.,Thunderz,Thanathon Tongthanachot,Thailand,"$3,750.00","$13,170.34",28.47%,"$13,170.34",28.47%
13.,Flukky,Patsakorn Kitchalong,Thailand,"$3,750.00","$12,721.92",29.48%,"$12,721.92",29.48%
14.,Pureboy,Junya Taniguchi,Japan,"$3,330.00","$49,501.78",6.73%,"$49,501.78",6.73%
15.,Sylphia,"Yamasaki, Takumi",Japan,"$3,330.00","$37,191.05",8.95%,"$37,191.05",8.95%
16.,Kein,"Kein, Sera",Japan,"$3,330.00","$23,886.44",13.94%,"$23,886.44",13.94%
17.,xKe1,"Ohtani, Kei",Japan,"$3,330.00","$7,648.75",43.54%,"$7,648.75",43.54%
18.,BatulinS,Aleksandr Batulin,Russian Federation,"$3,000.00","$445,827.43",0.67%,"$452,327.43",0.66%
19.,Lu,Kirill Lukyanov,Russian Federation,"$3,000.00","$430,206.18",0.70%,"$430,206.18",0.70%
20.,Perfect1ks,Dmytrii Dubenyuk,Ukraine,"$3,000.00","$409,544.18",0.73%,"$409,544.18",0.73%
21.,xmpL,Artem Adarkin,Russian Federation,"$3,000.00","$385,568.10",0.78%,"$385,568.10",0.78%
22.,Seoul,"Cho, Gi Yeol",Republic of Korea,"$2,897.28","$423,864.60",0.68%,"$423,864.60",0.68%
23.,Starlord,"Lee, Jong Ho",Republic of Korea,"$2,897.28","$148,337.29",1.95%,"$148,337.29",1.95%
24.,Americano,"Jung, Young Hun",Republic of Korea,"$2,897.28","$39,377.92",7.36%,"$39,377.92",7.36%
25.,Gyuyeon,"Choi, Gyu-yeon",Republic of Korea,"$2,897.28","$16,286.56",17.79%,"$16,286.56",17.79%
26.,kkachi,"Bae, Ho Jin",Republic of Korea,"$2,897.28","$2,897.28",100.00%,"$2,897.28",100.00%
27.,Noardra,Chanapong Srilamai,Thailand,"$2,000.00","$94,543.02",2.12%,"$94,543.02",2.12%
28.,Conaxy,Krissada Mukmongkol,Thailand,"$2,000.00","$85,020.40",2.35%,"$85,020.40",2.35%
29.,Eaddy,Atip Sangphet,Thailand,"$2,000.00","$83,948.70",2.38%,"$83,948.70",2.38%
30.,Kannonix,Sakan Sukrungruang,Thailand,"$2,000.00","$2,000.00",100.00%,"$2,000.00",100.00%
31.,Ibiza,Jord van Geldere,Netherlands,"$1,995.00","$320,344.63",0.62%,"$320,344.63",0.62%
32.,Qwizzy,Andrey Pobedinskiy,Russian Federation,"$1,995.00","$69,345.06",2.88%,"$69,345.06",2.88%
33.,NIXZYEE,Nino Mikec,Croatia,"$1,995.00","$12,192.80",16.36%,"$12,192.80",16.36%
34.,Lukarux,Luka Rukavina,Croatia,"$1,875.00","$45,228.75",4.15%,"$45,228.75",4.15%
35.,Feyerist,Anton Dutchak,Ukraine,"$1,875.00","$7,397.47",25.35%,"$7,397.47",25.35%
36.,Hakatory,Vitalii Shaida,Ukraine,"$1,875.00","$3,812.50",49.18%,"$3,812.50",49.18%
37.,DIFX,Vladyslav Nevykhozhyi,Ukraine,"$1,875.00","$2,562.50",73.17%,"$2,562.50",73.17%
38.,SoseD,Serhii Zubkov,Ukraine,"$1,875.00","$2,500.00",75.00%,"$2,500.00",75.00%
39.,Stella,"Lee, Ji-soo",Republic of Korea,"$1,810.80","$9,206.63",19.67%,"$9,206.63",19.67%
40.,ROY,"Kim, Min Gil",Republic of Korea,"$1,810.80","$5,624.47",32.20%,"$5,624.47",32.20%
41.,HAMMER,"Lee, Young-hyeon",Republic of Korea,"$1,810.80","$4,668.72",38.79%,"$4,668.72",38.79%
42.,Nyeong,"Yu, Dae Nyeong",Republic of Korea,"$1,810.80","$1,810.80",100.00%,"$1,810.80",100.00%
43.,Luke12,Luke Newey,Australia,"$1,750.00","$224,670.67",0.78%,"$224,670.67",0.78%
44.,Fludd,Lachlan Thompson,Australia,"$1,750.00","$198,490.03",0.88%,"$198,490.03",0.88%
45.,Ykikamucow,Nathan lynham,Australia,"$1,750.00","$111,522.72",1.57%,"$111,522.72",1.57%
46.,SneakAttack,Matthew Buschick,United States of America,"$1,750.00","$3,950.00",44.30%,"$4,450.00",39.33%
47.,GoNa,"Ji, Hyun Woo",Republic of Korea,"$1,503.37","$1,503.37",100.00%,"$1,503.37",100.00%
