Order,Player ID,Player Name,Country,Total earnings(year),Total Earnings(game),Percentage of Game,Total(Overall),Percentage of Total
1.,Fly,"Peng, Yunfei",China,"$693,005.42","$1,513,017.64",45.80%,"$1,513,017.64",45.80%
2.,1dao,"Zhong, Letian",China,"$693,005.42","$1,395,173.96",49.67%,"$1,395,173.96",49.67%
3.,Yu,"Cai, Youqi",China,"$693,005.42","$1,361,835.26",50.89%,"$1,361,835.26",50.89%
4.,Fanfan,"Fan, Yang",China,"$693,005.42","$1,330,389.67",52.09%,"$1,330,389.67",52.09%
5.,Pang,"Li, Daheng",China,"$668,084.89","$1,275,476.01",52.38%,"$1,275,476.01",52.38%
6.,QingRong,"Huang, Yaoqin",China,"$431,278.85","$1,246,992.29",34.59%,"$1,246,992.29",34.59%
7.,ZiYang,"Xiang, Yang",China,"$381,456.10","$1,180,343.94",32.32%,"$1,180,343.94",32.32%
8.,HuaHai,"Luo, Siyuan",China,"$318,333.86","$1,653,762.36",19.25%,"$1,653,762.36",19.25%
9.,QingQing,"Wu, Jinxiang",China,"$300,173.50","$829,438.75",36.19%,"$829,438.75",36.19%
10.,JiuWei,"Xu, Xinzhen",China,"$292,306.75","$535,310.92",54.61%,"$535,310.92",54.61%
11.,BingC,"Li, Xiaolong",China,"$292,306.75","$427,548.23",68.37%,"$427,548.23",68.37%
12.,QC,"Zhou, Yitao",China,"$292,306.75","$407,763.50",71.69%,"$407,763.50",71.69%
13.,BuRan,"Ye, Kang",China,"$287,062.25","$549,618.02",52.23%,"$549,618.02",52.23%
14.,NoFear,"Yang, Tao",China,"$286,601.37","$619,904.59",46.23%,"$619,904.59",46.23%
15.,JiuKu,"Wang, Tao",China,"$286,601.37","$619,243.61",46.28%,"$619,243.61",46.28%
16.,Qfeng,"Du, Zhou",China,"$280,484.49","$721,279.66",38.89%,"$721,279.66",38.89%
17.,Peng,"Lu, Jiapeng",China,"$280,484.49","$681,785.68",41.14%,"$681,785.68",41.14%
18.,GAI,"Yang, Tingpu",China,"$280,484.49","$677,196.88",41.42%,"$677,196.88",41.42%
19.,Byshow,"Fang, Qingyou",China,"$280,484.49","$669,103.52",41.92%,"$669,103.52",41.92%
20.,Mlan,"Peng, Junlan",China,"$268,477.49","$647,995.03",41.43%,"$647,995.03",41.43%
21.,XingHen,"Wang, Keqin",China,"$227,706.59","$521,758.61",43.64%,"$521,758.61",43.64%
22.,JiuF,"Shen, Yifan",China,"$225,915.54","$306,468.25",73.72%,"$306,468.25",73.72%
23.,YiZ,"Liu, Tianhao",China,"$205,051.34","$1,285,374.50",15.95%,"$1,285,374.50",15.95%
24.,JinYu,"Xu, Xiangyu",China,"$189,504.88","$529,234.25",35.81%,"$529,234.25",35.81%
25.,WuXin,"Lin, Long",China,"$186,206.69","$218,979.04",85.03%,"$218,979.04",85.03%
26.,WuMing,"Zhang, Cong",China,"$182,589.23","$748,209.82",24.40%,"$748,209.82",24.40%
27.,ZiMo,"Wu, Zhejie",China,"$164,584.35","$744,447.90",22.11%,"$744,447.90",22.11%
28.,Alan,"Wang, Tianlong",China,"$154,942.91","$1,508,589.45",10.27%,"$1,508,589.45",10.27%
29.,TanRan,"Sun, Linwei",China,"$153,749.51","$952,637.35",16.14%,"$952,637.35",16.14%
30.,NuoYan,"Guo, Guixin",China,"$153,749.51","$938,449.81",16.38%,"$938,449.81",16.38%
31.,Yinuo,"Xu, Bicheng",China,"$127,766.68","$1,095,693.69",11.66%,"$1,095,693.69",11.66%
32.,XiaoYing,"Tang, Jiajie",China,"$127,766.68","$552,857.45",23.11%,"$552,857.45",23.11%
33.,Aze,"Li, Tao",China,"$127,766.68","$321,812.05",39.70%,"$321,812.05",39.70%
34.,Ice,"Tang, Tian",China,"$118,111.01","$463,651.48",25.47%,"$463,651.48",25.47%
35.,Chuchen,"Tao, Chuankai",China,"$117,277.68","$263,561.85",44.50%,"$263,561.85",44.50%
36.,Nutalomlok,Anurak Saengjan,Thailand,"$107,471.53","$262,530.75",40.94%,"$267,574.62",40.17%
37.,JiuLong,"Kang, Junlong",China,"$95,141.44","$442,411.10",21.51%,"$442,411.10",21.51%
38.,Msir,"Jiang, Boyuan",China,"$95,141.44","$322,274.34",29.52%,"$322,274.34",29.52%
39.,Mf,"Li, Jiahao",China,"$95,141.44","$223,369.64",42.59%,"$223,369.64",42.59%
40.,QF,"Xia, Jinfei",China,"$95,141.44","$169,347.28",56.18%,"$169,347.28",56.18%
41.,Djie,"Xie, Zhencheng",China,"$92,699.34","$251,004.43",36.93%,"$251,004.43",36.93%
42.,HuaYun,"Zhang, Kaifeng",China,"$92,699.34","$250,317.90",37.03%,"$250,317.90",37.03%
