Order,Player ID,Player Name,Country,Total earnings(year),Total Earnings(game),Percentage of Game,Total(Overall),Percentage of Total
1.,Zero,"Xie, Wensheng",China,"$2,008.57","$119,640.35",1.68%,"$119,640.35",1.68%
2.,YuYu,"Yu, Chaojie",China,"$2,008.57","$97,869.56",2.05%,"$97,869.56",2.05%
3.,WanQiu,"Wang, Yixiang",China,"$2,008.57","$58,114.99",3.46%,"$58,114.99",3.46%
4.,XiaoYu,"Liu, Jiayu",China,"$2,008.57","$39,816.69",5.04%,"$39,816.69",5.04%
5.,YangYang,"Yue, Caiyang",China,"$2,008.57","$9,903.30",20.28%,"$9,903.30",20.28%
6.,BingBing,"Liao, Bingshan",China,"$2,008.57","$8,982.78",22.36%,"$8,982.78",22.36%
7.,YeChen,"Zou, Chuxin",China,"$2,008.57","$3,247.53",61.85%,"$3,247.53",61.85%
8.,冰雨,"-, -",China,"$1,406.00","$1,406.00",100.00%,"$1,406.00",100.00%
9.,垦丁,"-, -",China,"$1,406.00","$1,406.00",100.00%,"$1,406.00",100.00%
10.,奥利奥,"-, -",China,"$1,406.00","$1,406.00",100.00%,"$1,406.00",100.00%
11.,小蜘蛛,"-, -",China,"$1,406.00","$1,406.00",100.00%,"$1,406.00",100.00%
12.,沉睡,"-, -",China,"$1,406.00","$1,406.00",100.00%,"$1,406.00",100.00%
13.,AoShen,"Shi, Ao",China,$312.44,"$18,167.97",1.72%,"$18,167.97",1.72%
14.,信,"-, -",China,$312.44,$312.44,100.00%,$312.44,100.00%
15.,多多,"-, -",China,$312.44,$312.44,100.00%,$312.44,100.00%
16.,孤柚,"-, -",China,$312.44,$312.44,100.00%,$312.44,100.00%
17.,小双,"-, -",China,$312.44,$312.44,100.00%,$312.44,100.00%
18.,小汐,"-, -",China,$312.44,$312.44,100.00%,$312.44,100.00%
19.,小铠,"-, -",China,$312.44,$312.44,100.00%,$312.44,100.00%
20.,小零,"-, -",China,$312.44,$312.44,100.00%,$312.44,100.00%
21.,星梦,"-, -",China,$312.44,$312.44,100.00%,$312.44,100.00%
