Order,Player ID,Player Name,Country,Total earnings(year),Total Earnings(game),Percentage of Game,Total(Overall),Percentage of Total
1.,xmpL,Artem Adarkin,Russian Federation,"$271,151.08","$385,568.10",70.33%,"$385,568.10",70.33%
2.,Mellman,Konstantin Levkin,Georgia,"$261,151.08","$344,693.10",75.76%,"$344,693.10",75.76%
3.,alyaGG,Aleksandr Pirogov,Russian Federation,"$261,151.08","$342,518.10",76.24%,"$342,518.10",76.24%
4.,ubah,Ivan Kapustin,Russian Federation,"$257,062.08","$671,953.09",38.26%,"$676,467.77",38.00%
5.,shou,"Wang, Kang",China,"$187,211.76","$344,975.83",54.27%,"$344,975.83",54.27%
6.,LilGhost,"Luo, Shengjun",China,"$184,731.48","$423,848.21",43.58%,"$423,848.21",43.58%
7.,SuJiu,"Yu, Lin",China,"$182,598.92","$411,419.87",44.38%,"$411,419.87",44.38%
8.,xwudd,"Wu, Bo",China,"$159,868.13","$339,840.16",47.04%,"$339,840.16",47.04%
9.,MMing,"Chen, Yinan",China,"$153,153.49","$655,842.27",23.35%,"$655,842.27",23.35%
10.,ZpYan1,"Zhou, Pinyan",China,"$152,698.49","$601,248.68",25.40%,"$601,248.68",25.40%
11.,Nannnnn,"Li, Nanjiang",China,"$124,971.49","$589,465.66",21.20%,"$589,465.66",21.20%
12.,HS,"Wang, Yanwen",China,"$124,971.49","$568,638.27",21.98%,"$568,638.27",21.98%
13.,spyrro,Yaroslav Kuvichko,Ukraine,"$92,109.55","$427,117.18",21.57%,"$427,117.18",21.57%
14.,BatulinS,Aleksandr Batulin,Russian Federation,"$89,473.55","$445,827.43",20.07%,"$452,327.43",19.78%
15.,Lu,Kirill Lukyanov,Russian Federation,"$89,473.55","$430,206.18",20.80%,"$430,206.18",20.80%
16.,Perfect1ks,Dmytrii Dubenyuk,Ukraine,"$89,473.55","$409,544.18",21.85%,"$409,544.18",21.85%
17.,Kickstart,Matt Smith,United States of America,"$84,680.75","$442,836.44",19.12%,"$442,836.44",19.12%
18.,Fludd,Lachlan Thompson,Australia,"$84,180.75","$198,490.03",42.41%,"$198,490.03",42.41%
19.,Snakers,Jake Winant,United States of America,"$79,180.75","$220,043.57",35.98%,"$220,043.57",35.98%
20.,vard,Alexander John Gouge,U.K. of Great Britain and Northern Ireland,"$78,651.51","$265,372.45",29.64%,"$265,372.45",29.64%
21.,Relo,Noah Jenkins,United States of America,"$76,680.75","$202,379.19",37.89%,"$202,379.19",37.89%
22.,LashK,"Kim, Dong jun",Republic of Korea,"$73,887.59","$107,652.93",68.64%,"$107,652.93",68.64%
23.,EEND,"Roh, Tae Young",Republic of Korea,"$70,710.39","$94,779.16",74.61%,"$94,779.16",74.61%
24.,Aixleft,"Zuo, Zixuan",China,"$69,938.99","$255,475.68",27.38%,"$255,475.68",27.38%
25.,Nourinz,Tanaporn Udompornampai,Thailand,"$67,878.78","$146,298.46",46.40%,"$146,298.46",46.40%
26.,Hikari,"Kim, Dong Hwan",Republic of Korea,"$66,752.59","$144,817.00",46.09%,"$144,817.00",46.09%
27.,FLASH,Peerapass Termkla,Thailand,"$64,128.21","$134,655.72",47.62%,"$134,655.72",47.62%
28.,mxey,Anssi Pekkonen,Finland,"$63,211.57","$491,755.74",12.85%,"$491,755.74",12.85%
29.,Akad,"Lim, Gwang Hyun",Republic of Korea,"$62,887.59","$146,293.58",42.99%,"$146,293.58",42.99%
30.,Belmothz,Chonchanok Chankasame,Thailand,"$61,045.10","$90,470.88",67.47%,"$90,470.88",67.47%
31.,Fexx,Christopher Stephen Wheddon,U.K. of Great Britain and Northern Ireland,"$60,693.87","$184,013.82",32.98%,"$184,013.82",32.98%
32.,Xbei,"Tu, ZhanYa",China,"$59,849.51","$301,826.58",19.83%,"$301,826.58",19.83%
33.,TGLTN,James Giezen,Australia,"$59,630.50","$688,393.75",8.66%,"$689,193.75",8.65%
34.,HaiSaki,"Tran, Trinh Dong Hai",Vietnam,"$59,465.45","$129,839.87",45.80%,"$129,839.87",45.80%
35.,YmCuD,"Pham, Duc My",Vietnam,"$59,465.45","$87,038.47",68.32%,"$87,038.47",68.32%
36.,ADOUZ1E,Roman Zinoviev,Russian Federation,"$59,159.69","$231,459.39",25.56%,"$231,459.39",25.56%
37.,Jeemzz,Jim Gunnar Eliassen,Norway,"$58,470.00","$414,678.07",14.10%,"$414,678.07",14.10%
38.,sparkingg,Pedro Ribeiro,Brazil,"$57,722.25","$185,818.50",31.06%,"$185,818.50",31.06%
