Order,Player ID,Player Name,Country,Total earnings(year),Total Earnings(game),Percentage of Game,Total(Overall),Percentage of Total
1.,Malibuca,Danila Yakovenko,Russian Federation,"$85,425.00","$868,813.65",9.83%,"$868,813.65",9.83%
2.,merstachhh,Andrej Piratov,Latvia,"$85,225.00","$556,406.79",15.32%,"$556,406.79",15.32%
3.,Acorn,Abdullah Akhras,Canada,"$73,700.00","$603,002.39",12.22%,"$603,002.39",12.22%
4.,Cold,- -,United States of America,"$73,200.00","$406,425.00",18.01%,"$406,425.00",18.01%
5.,Th0masHD,Thomas Høxbro Davidsen,Denmark,"$60,950.00","$1,120,951.84",5.44%,"$1,120,951.84",5.44%
6.,Queasy,Aleksa Cvetkovic,Serbia,"$60,200.00","$1,020,170.50",5.90%,"$1,020,170.50",5.90%
7.,PeterBot,- -,United States of America,"$57,850.00","$246,286.67",23.49%,"$246,286.67",23.49%
8.,Kiro,Troy Alexis,Netherlands,"$50,275.00","$79,658.97",63.11%,"$79,658.97",63.11%
9.,kiduoo,- -,Germany,"$50,275.00","$66,175.00",75.97%,"$66,175.00",75.97%
10.,Reet,Nathan Amundson,United States of America,"$48,475.00","$271,668.28",17.84%,"$271,668.28",17.84%
11.,Pollo,- -,Mexico,"$47,850.00","$134,575.00",35.56%,"$134,575.00",35.56%
12.,MariusCOW,- -,Denmark,"$43,650.00","$57,781.25",75.54%,"$57,781.25",75.54%
13.,Sangild,- -,Denmark,"$43,650.00","$51,357.00",84.99%,"$51,357.00",84.99%
14.,Avivv,- -,Canada,"$36,750.00","$99,995.00",36.75%,"$99,995.00",36.75%
15.,Bugha,Kyle Giersdorf,United States of America,"$36,250.00","$3,672,300.05",0.99%,"$3,684,966.72",0.98%
16.,Clix,Cody Conrod,United States of America,"$34,800.00","$446,581.54",7.79%,"$446,581.54",7.79%
17.,EpikWhale,Shane Cotton,United States of America,"$34,300.00","$1,821,187.32",1.88%,"$1,821,187.32",1.88%
18.,Pinq,Zachariah Siddall,U.K. of Great Britain and Northern Ireland,"$31,050.00","$435,301.16",7.13%,"$435,301.16",7.13%
19.,Vic0try0na,Taylor-Petrik Gatschelhofer,Austria,"$31,050.00","$171,114.25",18.15%,"$171,714.25",18.08%
20.,Ritual,Joseph Mauro,United States of America,"$29,475.00","$104,300.00",28.26%,"$112,758.33",26.14%
21.,PabloWingu,Albert Nyeborg,Denmark,"$26,400.00","$123,279.26",21.41%,"$123,279.26",21.41%
22.,bevvys,Ludvig T.,Sweden,"$26,400.00","$109,542.98",24.10%,"$112,742.98",23.42%
23.,Noxy,- -,United States of America,"$22,300.00","$37,000.00",60.27%,"$37,000.00",60.27%
24.,krisp,- -,United States of America,"$21,350.00","$37,500.00",56.93%,"$37,500.00",56.93%
25.,Vadeal,Alexander Schlik,Germany,"$20,425.00","$534,260.50",3.82%,"$534,260.50",3.82%
26.,rezon ay,Lennard Sill,Germany,"$20,425.00","$435,981.00",4.68%,"$435,981.00",4.68%
27.,G13ras,Artur Gierasimowicz,Poland,"$18,500.00","$79,576.24",23.25%,"$79,576.24",23.25%
28.,Charyy,- -,Poland,"$18,500.00","$74,300.00",24.90%,"$74,300.00",24.90%
29.,Trashy,- -,United States of America,"$15,500.00","$91,065.00",17.02%,"$91,065.00",17.02%
30.,Skqttles,- -,United States of America,"$15,500.00","$83,850.00",18.49%,"$83,850.00",18.49%
31.,eomzo,- -,Canada,"$14,125.00","$232,388.34",6.08%,"$232,388.34",6.08%
32.,Rise,- -,Canada,"$14,125.00","$224,095.00",6.30%,"$224,095.00",6.30%
33.,Zenasd,Nadir Bertola,Italy,"$11,500.00","$27,600.00",41.67%,"$27,600.00",41.67%
34.,Shelom,- -,Japan,"$10,375.00","$124,225.00",8.35%,"$124,225.00",8.35%
35.,Kalgamer710,- -,Saudi Arabia,"$10,350.00","$75,550.00",13.70%,"$75,550.00",13.70%
36.,7man,- -,Bahrain,"$10,350.00","$69,560.00",14.88%,"$69,560.00",14.88%
37.,Fleek Zagóu,- -,Japan,"$10,275.00","$85,408.00",12.03%,"$85,408.00",12.03%
38.,Seeyun,Igor de Oliveira,Brazil,"$10,000.00","$191,250.00",5.23%,"$191,250.00",5.23%
39.,Cadu,- -,Brazil,"$10,000.00","$138,250.00",7.23%,"$138,250.00",7.23%
40.,Yqzmin,- -,United States of America,"$10,000.00","$23,650.00",42.28%,"$23,650.00",42.28%
41.,Dieyuhs,- -,Mexico,"$10,000.00","$18,850.00",53.05%,"$18,850.00",53.05%
42.,Sway,Josue -,United States of America,"$10,000.00","$15,160.00",65.96%,"$15,160.00",65.96%
43.,LunexHD,- -,Denmark,"$10,000.00","$13,300.00",75.19%,"$13,300.00",75.19%
44.,M0ne,- -,Denmark,"$10,000.00","$12,025.00",83.16%,"$12,025.00",83.16%
45.,Cooper,Cooper Smith,United States of America,"$9,750.00","$578,480.00",1.69%,"$578,480.00",1.69%
46.,worthy,Austin King,Australia,"$9,450.00","$124,712.00",7.58%,"$124,712.00",7.58%
47.,Alex,Alex Richmond,Australia,"$9,450.00","$106,077.71",8.91%,"$106,077.71",8.91%
48.,Andilex,Alexandre Christophe,France,"$8,375.00","$431,493.84",1.94%,"$431,493.84",1.94%
49.,Seyyto,- -,France,"$8,375.00","$9,925.00",84.38%,"$9,925.00",84.38%
50.,nebs,Reuben Belisle,U.K. of Great Britain and Northern Ireland,"$7,950.00","$211,043.29",3.77%,"$211,043.29",3.77%
51.,IDrop,Miran Tavakolzadeh,Norway,"$7,950.00","$140,945.00",5.64%,"$140,945.00",5.64%
52.,Vanyak3kktis,Vanya Sakach,Ukraine,"$7,825.00","$118,960.00",6.58%,"$119,120.00",6.57%
53.,mero,Matthew Faitel,Canada,"$7,750.00","$1,008,950.00",0.77%,"$1,008,950.00",0.77%
54.,XMipoli,- -,Japan,"$7,550.00","$42,240.00",17.87%,"$42,240.00",17.87%
55.,Koyota,- -,Japan,"$7,550.00","$40,050.00",18.85%,"$40,050.00",18.85%
56.,Hero,- -,Saudi Arabia,"$7,500.00","$185,180.00",4.05%,"$185,180.00",4.05%
57.,5aald,- -,Kuwait,"$7,500.00","$12,175.00",61.60%,"$12,175.00",61.60%
58.,TruleX,Nikola Krudulj,Serbia,"$7,450.00","$531,292.00",1.40%,"$532,792.00",1.40%
59.,P1ng,- -,Ukraine,"$7,400.00","$33,230.50",22.27%,"$33,230.50",22.27%
60.,TaySon,Tai Starčič,Slovenia,"$7,375.00","$1,162,451.60",0.63%,"$1,162,451.60",0.63%
61.,Veno,Harry Pearson,U.K. of Great Britain and Northern Ireland,"$7,375.00","$766,450.96",0.96%,"$766,450.96",0.96%
62.,Kayd,Kayden Stone,U.K. of Great Britain and Northern Ireland,"$7,325.00","$21,150.00",34.63%,"$21,150.00",34.63%
63.,Mikson,Mikołaj Kazanecki,Poland,"$7,200.00","$123,383.50",5.84%,"$123,543.50",5.83%
64.,Vortexers,- -,U.K. of Great Britain and Northern Ireland,"$7,125.00","$79,876.62",8.92%,"$79,876.62",8.92%
65.,Volko,- -,Germany,"$7,125.00","$16,505.72",43.17%,"$16,505.72",43.17%
66.,Cazi,- -,New Zealand,"$7,050.00","$22,830.00",30.88%,"$22,830.00",30.88%
67.,Nutifps,- -,Brazil,"$7,000.00","$30,608.33",22.87%,"$30,608.33",22.87%
68.,Renato,- -,Brazil,"$7,000.00","$9,550.00",73.30%,"$9,550.00",73.30%
69.,Aspect,- -,Australia,"$6,430.00","$11,710.00",54.91%,"$11,710.00",54.91%
70.,Khanada,Leon Khim,United States of America,"$6,350.00","$559,499.67",1.13%,"$559,499.67",1.13%
71.,Shamokiy,- -,Russian Federation,"$6,250.00","$76,652.25",8.15%,"$76,652.25",8.15%
72.,Albaxna,- -,Italy,"$6,250.00","$23,758.33",26.31%,"$23,758.33",26.31%
73.,envyy,Nadia -,France,"$6,250.00","$23,120.83",27.03%,"$23,120.83",27.03%
74.,Wheat,- -,Russian Federation,"$6,250.00","$15,803.60",39.55%,"$15,803.60",39.55%
75.,JannisZ,Jannis Matwin,Germany,"$6,225.00","$808,603.38",0.77%,"$808,603.38",0.77%
76.,Flickzy,- -,Germany,"$6,225.00","$85,513.61",7.28%,"$85,513.61",7.28%
77.,Rew,- -,Saudi Arabia,"$6,150.00","$29,200.00",21.06%,"$29,200.00",21.06%
78.,Bacca,- -,United States of America,"$5,850.00","$112,950.00",5.18%,"$112,950.00",5.18%
79.,Parz,- -,United States of America,"$5,850.00","$112,725.00",5.19%,"$112,725.00",5.19%
80.,Mshx,- -,Kuwait,"$5,850.00","$25,725.00",22.74%,"$25,725.00",22.74%
81.,Minipiyo,- -,Japan,"$5,725.00","$33,100.00",17.30%,"$33,100.00",17.30%
82.,FuuKun,- -,Japan,"$5,725.00","$8,550.00",66.96%,"$8,550.00",66.96%
83.,SwizzY,Egor Luciko,Russian Federation,"$5,700.00","$157,850.00",3.61%,"$157,850.00",3.61%
84.,Kami,Michał Kamiński,Poland,"$5,675.00","$1,421,194.20",0.40%,"$1,421,194.20",0.40%
85.,Setty,Iwa Zając,Poland,"$5,675.00","$1,077,051.81",0.53%,"$1,079,251.81",0.53%
86.,Pardal,Enrico Pace,Brazil,"$5,500.00","$5,500.00",100.00%,"$11,093.92",49.58%
87.,Paulinyache32,- -,Brazil,"$5,500.00","$5,750.00",95.65%,"$5,750.00",95.65%
