Order,Player ID,Player Name,Country,Total earnings(year),Total Earnings(game),Percentage of Game,Total(Overall),Percentage of Total
1.,Order,"Zeng, Zehai",China,"$559,115.40","$1,315,270.42",42.51%,"$1,315,270.42",42.51%
2.,paraboy,"Zhu, Bocheng",China,"$518,487.20","$1,386,382.33",37.40%,"$1,386,382.33",37.40%
3.,Jimmy,"Xu, Yin-Jun",Taiwan,"$518,305.90","$1,245,858.98",41.60%,"$1,245,858.98",41.60%
4.,King,"Lin, Yien",Taiwan,"$517,870.78","$1,031,286.07",50.22%,"$1,031,286.07",50.22%
5.,qc,"Xu, Jiajun",China,"$517,870.78","$729,696.94",70.97%,"$729,696.94",70.97%
6.,YZZ,"Ye, Zhiwei",China,"$328,039.75","$439,192.08",74.69%,"$439,192.08",74.69%
7.,格子,"Zhang, Jianhui",China,"$292,241.32","$388,523.10",75.22%,"$388,523.10",75.22%
8.,FlowerC,"You, Guochuan",China,"$287,313.84","$422,328.22",68.03%,"$422,328.22",68.03%
9.,Dd,"Huang, Youci",China,"$286,951.24","$321,714.07",89.19%,"$321,714.07",89.19%
10.,Quan,"Chang, Quan",China,"$286,769.94","$322,771.37",88.85%,"$322,771.37",88.85%
11.,闪电,"Yao, Chenyi",China,"$286,769.94","$319,547.37",89.74%,"$319,547.37",89.74%
12.,Remember,"Yuan, Xinsong",China,"$223,739.93","$302,636.95",73.93%,"$302,636.95",73.93%
13.,pickfeet,"Zhang, Yachao",China,"$223,558.63","$324,705.39",68.85%,"$324,705.39",68.85%
14.,Beautiful,"Feng, Yunhui",China,"$223,558.63","$323,998.39",69.00%,"$323,998.39",69.00%
15.,SunFloweru,"Li, Jiayi",China,"$223,558.63","$262,302.29",85.23%,"$262,302.29",85.23%
16.,XZ,"Zhang, Yaohui",China,"$223,158.63","$297,299.91",75.06%,"$297,299.91",75.06%
17.,memory,"Zhang, Yujie",China,"$222,312.67","$239,877.15",92.68%,"$239,877.15",92.68%
18.,魏无羡,"He, Tianyou",China,"$183,864.98","$282,079.33",65.18%,"$282,079.33",65.18%
19.,KITSUNE,Sergey Pomerantsev,Russian Federation,"$170,375.00","$411,955.96",41.36%,"$411,955.96",41.36%
20.,matic,Vitalii Shulga,Russian Federation,"$170,375.00","$372,639.71",45.72%,"$372,639.71",45.72%
21.,Tixzy,Daniil Gordeev,Russian Federation,"$170,375.00","$355,363.46",47.94%,"$355,363.46",47.94%
22.,mequ,Alexey Tolov,Russian Federation,"$170,375.00","$350,563.46",48.60%,"$350,563.46",48.60%
23.,Stoned,Purin Rongkhankaew,Thailand,"$158,713.89","$332,245.64",47.77%,"$332,245.64",47.77%
24.,SchwepXz,Supachai Singkaew,Thailand,"$154,780.89","$322,277.98",48.03%,"$322,277.98",48.03%
25.,Rvenclaw,Thanarat Makhotsa,Thailand,"$148,713.89","$306,345.79",48.54%,"$306,345.79",48.54%
26.,Fluketh,Natchaphon Somtus,Thailand,"$148,713.89","$305,166.18",48.73%,"$305,166.18",48.73%
27.,2Stopz,Kritsada Penglek,Thailand,"$148,713.89","$192,321.21",77.33%,"$192,321.21",77.33%
28.,Naoto,"Ishida, Masahiro",Japan,"$133,468.27","$223,874.60",59.62%,"$223,874.60",59.62%
29.,HAMODY,Mohammed Qassim,Iraq,"$128,080.00","$189,791.68",67.48%,"$189,791.68",67.48%
30.,LORD,Muslim Ahmed Jawad,Iraq,"$128,080.00","$182,395.01",70.22%,"$182,395.01",70.22%
31.,FREAK,Reshar Dawid,Iraq,"$127,580.00","$190,311.68",67.04%,"$190,311.68",67.04%
32.,RAOUF,Raouf Abdellah,Algeria,"$127,580.00","$187,645.01",67.99%,"$187,645.01",67.99%
33.,HixYE,Maad Ali Ashkar,Iraq,"$127,580.00","$167,630.01",76.11%,"$167,630.01",76.11%
34.,Missile,"Kim, Joon-soo",Republic of Korea,"$125,765.47","$168,166.09",74.79%,"$168,166.09",74.79%
35.,OZISAN,"Watanabe, Yu",Japan,"$125,765.47","$157,136.06",80.04%,"$157,136.06",80.04%
36.,OmikuN,Kazuki Omi,Japan,"$125,765.47","$154,287.88",81.51%,"$154,287.88",81.51%
37.,Action,Suhbat Galtsalam,Mongolia,"$125,150.00","$294,423.80",42.51%,"$294,423.80",42.51%
38.,TOP,Burenbayar Altangerel,Mongolia,"$119,150.00","$290,423.80",41.03%,"$290,423.80",41.03%
39.,Sino,- -,Japan,"$113,265.47","$126,374.52",89.63%,"$126,374.52",89.63%
40.,Mix6GG,"Wang, Biao",China,"$112,067.13","$350,465.89",31.98%,"$350,465.89",31.98%
41.,skryyy,Bilguutei Bayasgalan,Mongolia,"$111,150.00","$212,673.80",52.26%,"$212,673.80",52.26%
42.,pikA,Unubold Erkhembayar,Mongolia,"$111,150.00","$205,257.14",54.15%,"$205,257.14",54.15%
43.,阿杰,"Cao, Wenjie",China,"$110,120.85","$337,684.97",32.61%,"$337,684.97",32.61%
