Order,Player ID,Player Name,Country,Total earnings(year),Total Earnings(game),Percentage of Game,Total(Overall),Percentage of Total
1.,Reynor,Riccardo Romiti,Italy,"$106,024.50","$759,485.59",13.96%,"$759,485.59",13.96%
2.,Trap,"Cho, Sung Ho",Republic of Korea,"$94,671.50","$407,287.53",23.24%,"$407,287.53",23.24%
3.,Zest,"Joo, Sung Wook",Republic of Korea,"$93,780.38","$690,082.59",13.59%,"$690,082.59",13.59%
4.,Rogue,"Lee, Byung Ryul",Republic of Korea,"$86,816.50","$1,074,715.88",8.08%,"$1,074,715.88",8.08%
5.,Clem,Clément Desplanches,France,"$78,396.16","$344,766.09",22.74%,"$345,166.09",22.71%
6.,Maru,"Cho, Sung Choo",Republic of Korea,"$76,619.29","$1,296,583.05",5.91%,"$1,296,583.05",5.91%
7.,Serral,Joona Sotala,Finland,"$71,852.00","$1,483,291.82",4.84%,"$1,483,291.82",4.84%
8.,Dark,"Park, Ryung Woo",Republic of Korea,"$61,735.00","$1,092,559.07",5.65%,"$1,092,559.07",5.65%
9.,Cure,"Kim, Doh Wook",Republic of Korea,"$57,024.37","$431,862.77",13.20%,"$431,862.77",13.20%
10.,Solar,"Kang, Min Soo",Republic of Korea,"$44,797.47","$602,515.88",7.44%,"$602,515.88",7.44%
11.,PartinG,"Won, Lee Sak",Republic of Korea,"$44,769.00","$474,453.54",9.44%,"$477,780.18",9.37%
12.,ByuN,"Byun, Hyun Woo",Republic of Korea,"$38,697.87","$603,456.87",6.41%,"$603,456.87",6.41%
13.,SpeCial,Juan Carlos Lopez,Mexico,"$38,561.12","$463,079.08",8.33%,"$463,329.08",8.32%
14.,HeRoMaRinE,Gabriel Segat,Germany,"$38,383.50","$330,978.45",11.60%,"$330,978.45",11.60%
15.,Bunny,"Lee, Jae Sung",Republic of Korea,"$34,518.29","$188,835.11",18.28%,"$188,835.11",18.28%
16.,Zoun,"Park, Han Sol",Republic of Korea,"$33,789.12","$88,223.42",38.30%,"$88,223.42",38.30%
17.,INnoVation,"Lee, Shin Hyung",Republic of Korea,"$30,459.00","$795,694.96",3.83%,"$799,192.66",3.81%
18.,Dream,"Cho, Joong Hyuk",Republic of Korea,"$30,338.90","$157,379.90",19.28%,"$157,379.90",19.28%
19.,Oliveira,"Li, Peinan",China,"$27,507.00","$437,980.25",6.28%,"$437,980.25",6.28%
20.,Neeb,Alex Sunderhaft,United States of America,"$27,275.00","$589,644.76",4.63%,"$589,720.96",4.63%
21.,Scarlett,Sasha Hostyn,Canada,"$27,213.00","$461,816.87",5.89%,"$465,550.07",5.85%
22.,TY,"Jun, Tae Yang",Republic of Korea,"$23,811.50","$699,667.92",3.40%,"$708,468.19",3.36%
23.,sOs,"Kim, Yoo Jin",Republic of Korea,"$22,703.29","$664,999.39",3.41%,"$665,449.84",3.41%
24.,ShoWTimE,Tobias Sieber,Germany,"$22,535.00","$367,850.07",6.13%,"$367,850.07",6.13%
25.,MaxPax,Max C.,Denmark,"$22,292.62","$97,010.19",22.98%,"$97,010.19",22.98%
26.,DongRaeGu,"Park, Soo Ho",Republic of Korea,"$21,131.79","$358,183.09",5.90%,"$358,183.09",5.90%
27.,SHIN,"Shin, Hee Bum",Republic of Korea,"$20,604.05","$236,701.26",8.70%,"$236,701.26",8.70%
